"2/13/2012 22:9:46",99,47.19,90.16,89.04,83.86,72.95,65.64,60.57
"2/13/2012 22:9:49",99,47.19,90.16,88.93,83.75,72.72,65.52,60.57
"2/13/2012 22:9:50",99,47.19,90.27,88.93,83.64,72.84,65.52,60.46
"2/13/2012 22:9:56",99,47.30,90.27,88.70,83.52,73.06,65.64,60.46
"2/13/2012 22:10:2",99,47.30,90.05,88.81,83.52,73.06,65.64,60.57
"2/13/2012 22:10:5",98,47.30,89.82,88.59,83.41,73.06,65.64,60.57
"2/13/2012 22:10:7",99,47.30,89.82,88.59,83.41,73.06,65.64,60.46
"2/13/2012 22:10:11",98,47.30,89.60,88.47,83.30,73.06,65.52,60.46
"2/13/2012 22:10:16",98,47.41,89.49,88.70,83.19,72.95,65.52,60.46
"2/13/2012 22:10:18",97,47.41,89.37,88.59,83.07,73.06,65.64,60.57
"2/13/2012 22:10:21",97,47.41,89.37,88.47,82.96,72.95,65.52,60.57
"2/13/2012 22:10:25",97,47.30,89.26,88.47,82.96,72.95,65.52,60.57
"2/13/2012 22:10:31",97,47.41,89.15,88.36,82.85,72.95,65.52,60.57
"2/13/2012 22:10:32",97,47.30,89.15,88.25,82.74,72.95,65.52,60.57
"2/13/2012 22:10:35",97,47.41,89.15,88.02,82.74,72.84,65.52,60.57
"2/13/2012 22:10:38",97,47.41,89.04,87.80,82.62,72.84,65.52,60.46
"2/13/2012 22:10:41",96,47.41,88.93,87.69,82.62,72.84,65.52,60.57
"2/13/2012 22:10:43",96,47.30,88.81,87.80,82.51,72.84,65.52,60.46
"2/13/2012 22:10:46",96,47.41,88.81,87.46,82.40,72.84,65.52,60.57
"2/13/2012 22:10:50",96,47.41,88.70,87.57,82.40,72.84,65.52,60.46
"2/13/2012 22:10:57",96,47.30,88.81,87.35,82.29,72.95,65.52,60.57
"2/13/2012 22:10:58",96,47.30,88.59,87.24,82.18,72.84,65.52,60.46
"2/13/2012 22:11:1",96,47.30,88.59,87.01,82.18,72.84,65.52,60.46
"2/13/2012 22:11:3",96,47.30,88.47,87.12,81.95,72.84,65.52,60.46
"2/13/2012 22:11:8",95,47.41,88.36,87.24,82.06,72.84,65.52,60.46
"2/13/2012 22:11:9",95,47.41,88.25,87.12,81.95,72.84,65.41,60.46
"2/13/2012 22:11:15",95,47.41,88.25,87.24,81.95,72.72,65.41,60.46
"2/13/2012 22:11:17",95,47.41,88.14,87.12,81.84,72.84,65.52,60.46
"2/13/2012 22:11:19",95,47.30,88.02,86.90,81.72,72.72,65.41,60.46
"2/13/2012 22:11:21",95,47.30,88.02,86.90,81.72,72.72,65.41,60.46
"2/13/2012 22:11:25",94,47.41,87.80,86.90,81.61,72.72,65.41,60.46
"2/13/2012 22:11:26",94,47.30,87.69,86.79,81.61,72.84,65.41,60.46
"2/13/2012 22:11:29",94,47.30,87.57,86.68,81.61,72.72,65.41,60.46
"2/13/2012 22:11:30",94,47.30,87.57,86.68,81.61,72.72,65.41,60.46
"2/13/2012 22:11:33",94,47.30,87.57,86.68,81.50,72.72,65.41,60.46
"2/13/2012 22:11:36",94,47.30,87.46,86.45,81.50,72.72,65.41,60.46
"2/13/2012 22:11:41",94,47.30,87.46,86.45,81.39,72.61,65.41,60.46
"2/13/2012 22:11:44",93,47.30,87.35,86.34,81.27,72.61,65.41,60.46
"2/13/2012 22:11:51",93,47.41,87.24,86.22,81.16,72.72,65.41,60.46
"2/13/2012 22:11:54",93,47.41,87.12,86.00,81.16,72.72,65.41,60.46
"2/13/2012 22:11:58",92,47.41,87.01,86.00,81.05,72.61,65.41,60.57
"2/13/2012 22:12:1",92,47.30,86.79,85.89,80.94,72.61,65.30,60.46
"2/13/2012 22:12:2",92,47.30,86.79,85.89,80.94,72.61,65.41,60.46
"2/13/2012 22:12:5",92,47.30,86.79,85.77,80.82,72.61,65.41,60.46
"2/13/2012 22:12:6",92,47.30,86.68,85.77,80.82,72.61,65.41,60.46
"2/13/2012 22:12:9",92,47.30,86.68,85.77,80.82,72.61,65.41,60.46
"2/13/2012 22:12:10",92,47.30,86.56,85.77,80.71,72.50,65.41,60.46
"2/13/2012 22:12:12",92,47.30,86.56,85.77,80.71,72.50,65.41,60.35
"2/13/2012 22:12:26",82,47.30,86.11,85.32,80.26,72.39,65.30,60.24
