2/10/12 22:08	74.22	74.09	71.94	69.80	66.93	64.06	
2/10/12 22:09	74.07	74.00	71.89	69.67	66.88	64.06	
2/10/12 22:10	73.95	73.90	71.80	69.73	66.87	64.06	
2/10/12 22:11	73.79	73.77	71.71	69.70	66.90	64.06	
2/10/12 22:12	73.68	73.65	71.65	69.69	66.85	64.05	
2/10/12 22:13	73.57	73.52	71.58	69.66	66.84	64.04	
2/10/12 22:14	73.49	73.45	71.51	69.53	66.73	64.03	
2/10/12 22:15	73.38	73.37	71.47	69.53	66.74	64.00	
2/10/12 22:16	73.28	73.29	71.38	69.44	66.70	63.98	
2/10/12 22:17	73.21	73.21	71.34	69.39	66.66	63.98	
2/10/12 22:18	73.04	73.13	71.26	69.37	66.67	63.95	
2/10/12 22:19	72.95	73.06	71.26	69.35	66.69	63.95	
2/10/12 22:20	72.88	72.96	71.18	69.21	66.62	63.95	
2/10/12 22:21	72.81	72.85	71.10	69.15	66.53	63.95	
2/10/12 22:22	72.74	72.81	71.04	69.13	66.60	63.94	
2/10/12 22:23	72.63	72.71	70.97	69.15	66.54	63.94	
2/10/12 22:24	72.55	72.68	70.91	69.15	66.54	63.94	
2/10/12 22:25	72.50	72.61	70.89	69.10	66.54	63.92	
2/10/12 22:26	72.43	72.54	70.84	69.09	66.53	63.90	
2/10/12 22:27	72.37	72.49	70.81	69.03	66.43	63.87	
2/10/12 22:28	72.27	72.40	70.78	69.04	66.41	63.86	
2/10/12 22:29	72.25	72.39	70.71	69.01	66.54	63.85	
2/10/12 22:30	72.15	72.30	70.71	69.00	66.53	63.88	
2/10/12 22:31	72.08	72.26	70.69	69.05	66.47	63.86	
2/10/12 22:32	72.02	72.21	70.66	69.12	66.58	63.87	
2/10/12 22:33	72.03	72.16	70.66	69.08	66.65	63.87	
2/10/12 22:34	72.01	72.13	70.64	69.04	66.45	63.86	
2/10/12 22:35	71.96	72.06	70.60	69.04	66.52	63.86	
2/10/12 22:36	71.92	72.05	70.59	69.10	66.54	63.86	
2/10/12 22:37	71.83	72.04	70.58	69.02	66.55	63.85	
2/10/12 22:38	71.81	71.95	70.47	69.08	66.44	63.85	
2/10/12 22:39	71.82	71.94	70.49	69.02	66.41	63.84	
2/10/12 22:40	71.74	71.89	70.47	68.92	66.27	63.84	
2/10/12 22:41	71.72	71.83	70.44	68.86	66.29	63.83	
2/10/12 22:42	71.65	71.81	70.37	68.88	66.28	63.83	
